First.Author,Year,Initial.Definition,Model.use,lab.OR.field,treatment,Kingdom,species.i,species.j,comp_outcome,Definition,ND,FD,Condition,Interaction
Spaak,2020,Spaak,None,lab,Control,Phytoplankton,"Synechochoccus, BS5","Synechochoccus, BS4",2,Spaak,0.205639212,0.024434907,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Cosmarium turpinii,2,Spaak,0.09814669626129457,0.08417734838730317,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Cosmarium turpinii,2,Spaak,0.0913701601193656,0.07729584640408393,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Cosmarium turpinii,2,Spaak,0.10628661653995553,0.09244335278360027,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Cosmarium turpinii,2,Spaak,0.042086910226662444,0.02724921863245311,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Cosmarium turpinii,2,Spaak,0.09445545337597638,0.0804289296223395,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Cosmarium turpinii,2,Spaak,0.10452087470945559,0.0906502603166014,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Cosmarium turpinii,2,Spaak,0.08568886419282529,0.07152654947023573,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Cosmarium turpinii,2,Spaak,0.0790799665552192,0.06481528264489089,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Cosmarium turpinii,2,Spaak,0.02367423853758477,0.008551342004780582,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Cosmarium turpinii,2,Spaak,0.06079904427448635,0.046251196171336106,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Elakatothrix viridis,2,Spaak,0.13542573606217712,0.014186960680080296,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Elakatothrix viridis,2,Spaak,0.48422519606974024,0.4118983778775869,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Elakatothrix viridis,2,Spaak,0.19942184839496013,0.08715721278554533,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Elakatothrix viridis,2,Spaak,0.2514346194669683,0.1464637062502122,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Elakatothrix viridis,2,Spaak,0.21566187882318666,0.10567457378375489,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Elakatothrix viridis,2,Spaak,0.45815076052107195,0.382167538516594,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Elakatothrix viridis,2,Spaak,0.24909265155482307,0.14379332546077472,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Elakatothrix viridis,2,Spaak,0.3091651875068424,0.2122898002191006,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Elakatothrix viridis,2,Spaak,0.15679318139282505,0.038550751163465735,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Elakatothrix viridis,2,Spaak,0.4235141805241699,0.342673889882092,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Scenedesmus acuminatus,2,Spaak,0.28614080255859,0.1849112776407913,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Scenedesmus acuminatus,2,Spaak,0.262379040876361,0.15777995532962696,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Scenedesmus acuminatus,2,Spaak,0.34795405332245677,0.25549001889757084,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Scenedesmus acuminatus,2,Spaak,0.31032644575007273,0.21252659040700295,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Scenedesmus acuminatus,2,Spaak,0.24532365722859806,0.13830601576755774,Coexistence,Negative frequency dependance
